A1BG-AS1__chr19	NR_015380__chr19__1
CDH24__chr14	NM_022478__chr14__1|NM_144985__chr14__1
CDH26__chr20	NM_177980__chr20__1|NM_021810__chr20__1
CDH2__chr18	NM_001792__chr18__1|NM_001308176__chr18__1
CDH3__chr16	NM_001317195__chr16__1|NM_001317196__chr16__1|NM_001793__chr16__1
CDH4__chr20	NM_001794__chr20__1|NM_001252338__chr20__1|NM_001252339__chr20__1
CDH4__chr20_KI270869v1_alt	NM_001252338__chr20_KI270869v1_alt__1|NM_001252339__chr20_KI270869v1_alt__1|NM_001794__chr20_KI270869v1_alt__1
CDH5__chr16	NM_001795__chr16__1
CDH6__chr5	NM_004932__chr5__1
CDH7__chr18	NM_033646__chr18__1|NM_001317214__chr18__1|NM_004361__chr18__1
CDH8__chr16	NM_001796__chr16__1
CDH9__chr5	NM_016279__chr5__1
CDHR1__chr10	NM_033100__chr10__1|NM_001171971__chr10__1
CDHR2__chr5	NM_001171976__chr5__1|NM_017675__chr5__1
CDHR3__chr7	NM_001301161__chr7__1|NM_152750__chr7__1
CDHR4__chr3	NM_001007540__chr3__1
CDHR5__chr11	NM_001171968__chr11__1|NM_021924__chr11__1|NM_031264__chr11__1
CDHR5__chr11_KI270832v1_alt	NM_001171968__chr11_KI270832v1_alt__1|NM_021924__chr11_KI270832v1_alt__1|NM_031264__chr11_KI270832v1_alt__1
CDIP1__chr16	NM_001199054__chr16__1|NM_001199055__chr16__1|NM_001199056__chr16__1|NM_013399__chr16__1
CDIP1__chr16_KI270855v1_alt	NM_001199055__chr16_KI270855v1_alt__1|NM_001199056__chr16_KI270855v1_alt__1|NM_013399__chr16_KI270855v1_alt__1|NM_001199054__chr16_KI270855v1_alt__1
CDIPT-AS1__chr16	NR_024370__chr16__1|NR_015396__chr16__1
CDIPT__chr16	NM_001286585__chr16__1|NM_001286586__chr16__1|NM_006319__chr16__1
CDK10__chr16	NM_001098533__chr16__1|NM_001160367__chr16__1|NM_052987__chr16__1|NM_052988__chr16__1|NR_027702__chr16__1|NR_027703__chr16__1
CDK11A__chr1	NM_001313896__chr1__1|NM_001313982__chr1__1|NM_024011__chr1__1|NM_033529__chr1__1|NR_132739__chr1__1|NR_132740__chr1__1
CDK11B__chr1	NM_001291345__chr1__1|NM_001787__chr1__1|NM_033486__chr1__1|NM_033487__chr1__1|NM_033489__chr1__1|NM_033490__chr1__1
CDK12__chr17	NM_015083__chr17__1|NM_016507__chr17__1
CDK13__chr7	NM_003718__chr7__1|NM_031267__chr7__1
CDK14__chr7	NM_001287135__chr7__1|NM_012395__chr7__1|NM_001287136__chr7__1|NM_001287137__chr7__1
CDK15__chr2	NM_139158__chr2__1|NM_001261436__chr2__1|NM_001261435__chr2__1
CDK16__chrX	NM_033018__chrX__1|NM_006201__chrX__1|NM_001170460__chrX__1
CDK17__chr12	NM_001170464__chr12__1|NM_002595__chr12__1
CDK18__chr1	NM_002596__chr1__1|NM_212502__chr1__1|NM_212503__chr1__1
CDK19__chr6	NM_001300960__chr6__1|NM_015076__chr6__1|NM_001300963__chr6__1|NM_001300964__chr6__1
CDK1__chr10	NM_001170406__chr10__1|NM_001170407__chr10__1|NM_001786__chr10__1|NM_033379__chr10__1|NM_001320918__chr10__1
CDK20__chr9	NM_001039803__chr9__1|NM_001170639__chr9__1|NM_001170640__chr9__1|NM_012119__chr9__1|NM_178432__chr9__1
CDK2AP1__chr12	NM_001270434__chr12__1|NM_001270433__chr12__1|NR_073008__chr12__1|NM_004642__chr12__1|NR_073007__chr12__1
CDK2AP2__chr11	NM_001271849__chr11__1|NR_073484__chr11__1|NM_005851__chr11__1
CDK2__chr12	NM_001290230__chr12__1|NM_001798__chr12__1|NM_052827__chr12__1
CDK3__chr17	NM_001258__chr17__1
CDK4__chr12	NM_000075__chr12__1
CDK5R1__chr17	NM_003885__chr17__1
CDK5R2__chr2	NM_003936__chr2__1
CDK5RAP1__chr20	NM_001278167__chr20__1|NM_001278168__chr20__1|NM_001278169__chr20__1|NM_016082__chr20__1|NM_016408__chr20__1
CDK5RAP2__chr9	NM_001011649__chr9__1|NM_001272039__chr9__1|NM_018249__chr9__1|NR_073554__chr9__1|NR_073555__chr9__1|NR_073556__chr9__1|NR_073557__chr9__1|NR_073558__chr9__1
CDK5RAP3__chr17	NM_001278197__chr17__1|NM_001278198__chr17__1|NM_001278216__chr17__1|NM_001278217__chr17__1|NM_176096__chr17__1
CDK5__chr7	NM_001164410__chr7__1|NM_004935__chr7__1
CDK6__chr7	NM_001259__chr7__1|NM_001145306__chr7__1
CDK7__chr5	NM_001799__chr5__1|NM_001324069__chr5__1|NM_001324070__chr5__1|NM_001324071__chr5__1|NM_001324072__chr5__1|NM_001324074__chr5__1|NM_001324075__chr5__1|NM_001324077__chr5__1|NM_001324078__chr5__1|NR_136690__chr5__1
CDK7__chr5_GL339449v2_alt	NM_001799__chr5_GL339449v2_alt__1|NM_001324069__chr5_GL339449v2_alt__1|NM_001324070__chr5_GL339449v2_alt__1|NM_001324071__chr5_GL339449v2_alt__1|NM_001324072__chr5_GL339449v2_alt__1|NM_001324074__chr5_GL339449v2_alt__1|NM_001324075__chr5_GL339449v2_alt__1|NM_001324077__chr5_GL339449v2_alt__1|NM_001324078__chr5_GL339449v2_alt__1|NR_136690__chr5_GL339449v2_alt__1
CDK8__chr13	NM_001260__chr13__1|NM_001318368__chr13__1
CDK9__chr9	NM_001261__chr9__1
CDKAL1__chr6	NM_017774__chr6__1
CDKL1__chr14	NM_004196__chr14__1|NM_001282236__chr14__1
CDKL2__chr4	NM_003948__chr4__1
CDKL3__chr5	NM_001113575__chr5__1|NM_001300853__chr5__1|NM_016508__chr5__1
CDKL4__chr2	NM_001009565__chr2__1
CDKL5__chrX	NM_003159__chrX__1|NM_001037343__chrX__1|NM_001323289__chrX__1
CDKN1A__chr6	NM_001220777__chr6__1|NM_078467__chr6__1|NM_001291549__chr6__1|NM_000389__chr6__1|NM_001220778__chr6__1
CDKN1B__chr12	NM_004064__chr12__1
CDKN1C__chr11	NM_000076__chr11__1|NM_001122630__chr11__1|NM_001122631__chr11__1
CDKN1C__chr11_KI270831v1_alt	NM_000076__chr11_KI270831v1_alt__1|NM_001122630__chr11_KI270831v1_alt__1|NM_001122631__chr11_KI270831v1_alt__1
CDKN2A-AS1__chr9	NR_024274__chr9__1
CDKN2AIPNL__chr5	NM_080656__chr5__1
CDKN2AIP__chr4	NM_001317343__chr4__1|NM_017632__chr4__1
CDKN2A__chr9	NM_058197__chr9__1|NM_000077__chr9__1|NM_001195132__chr9__1|NM_058195__chr9__1
CDKN2B-AS1__chr9	NR_047533__chr9__1|NR_047539__chr9__1|NR_047540__chr9__1|NR_047541__chr9__1|NR_047542__chr9__1|NR_003529__chr9__1|NR_047532__chr9__1|NR_047534__chr9__1|NR_047535__chr9__1|NR_047536__chr9__1|NR_047537__chr9__1|NR_047538__chr9__1|NR_047543__chr9__1|NR_120536__chr9__1
CDKN2B__chr9	NM_004936__chr9__1|NM_078487__chr9__1
CDKN2C__chr1	NM_001262__chr1__1|NM_078626__chr1__1
CDKN2D__chr19	NM_001800__chr19__1|NM_079421__chr19__1
CDKN3__chr14	NM_001130851__chr14__1|NM_005192__chr14__1
CDNF__chr10	NM_001029954__chr10__1
CDO1__chr5	NM_001801__chr5__1|NM_001323567__chr5__1|NR_136621__chr5__1|NM_001323565__chr5__1|NM_001323566__chr5__1|NR_136618__chr5__1|NR_136619__chr5__1|NR_136620__chr5__1
CDON__chr11	NM_001243597__chr11__1|NM_016952__chr11__1
CDPF1__chr22	NM_207327__chr22__1
CDR1__chrX	NM_004065__chrX__1
CDR2L__chr17	NM_014603__chr17__1
CDR2__chr16	NM_001802__chr16__1
CDRT15L2__chr17	NM_001190790__chr17__1
CDRT15P1__chr17	NR_003261__chr17__1
CDRT15P2__chr17	NR_033865__chr17__1
CDRT15__chr17	NM_001007530__chr17__1
CDRT1__chr17	NM_001282540__chr17__1|NM_006382__chr17__1
CDRT4__chr17	NM_001204477__chr17__1
CDRT7__chr17	NR_033371__chr17__1
CDRT8__chr17	NR_103559__chr17__1
CDS1__chr4	NM_001263__chr4__1
CDS2__chr20	NM_003818__chr20__1
CDSN__chr6	NM_001264__chr6__1
CDSN__chr6_GL000251v2_alt	NM_001264__chr6_GL000251v2_alt__1
CDSN__chr6_GL000252v2_alt	NM_001264__chr6_GL000252v2_alt__1
CDSN__chr6_GL000253v2_alt	NM_001264__chr6_GL000253v2_alt__1
CDSN__chr6_GL000254v2_alt	NM_001264__chr6_GL000254v2_alt__1
CDSN__chr6_GL000255v2_alt	NM_001264__chr6_GL000255v2_alt__1
CDT1__chr16	NM_030928__chr16__1
CDV3__chr3	NM_001134422__chr3__1|NM_001282762__chr3__1|NM_017548__chr3__1|NM_001134423__chr3__1|NM_001282763__chr3__1|NM_001282764__chr3__1|NM_001282765__chr3__1
CDX1__chr5	NM_001804__chr5__1
CDX2__chr13	NM_001265__chr13__1
CDX4__chrX	NM_005193__chrX__1
CDY1B__chrY	NM_001003895__chrY__1|NM_001003894__chrY__1|NM_001003894__chrY__2|NM_001003895__chrY__2
CDY1__chrY	NM_004680__chrY__1|NM_170723__chrY__1|NM_170723__chrY__2|NM_004680__chrY__2
CDY2A__chrY	NM_004825__chrY__1|NM_004825__chrY__2
CDY2B__chrY	NM_001001722__chrY__1|NM_001001722__chrY__2
CDYL2__chr16	NM_152342__chr16__1
CDYL__chr6	NR_026590__chr6__1|NM_004824__chr6__1|NM_001143970__chr6__1|NM_001143971__chr6__1
CEACAM16__chr19	NM_001039213__chr19__1
CEACAM18__chr19	NM_001278392__chr19__1
CEACAM19__chr19	NM_001127893__chr19__1|NM_020219__chr19__1
CEACAM1__chr19	NM_001024912__chr19__1|NM_001184813__chr19__1|NM_001184815__chr19__1|NM_001184816__chr19__1|NM_001205344__chr19__1|NM_001712__chr19__1
CEACAM20__chr19	NM_001102597__chr19__1|NM_001102598__chr19__1|NM_001102599__chr19__1|NM_001102600__chr19__1
CEACAM21__chr19	NM_001288773__chr19__1|NM_001098506__chr19__1|NM_001290113__chr19__1|NM_033543__chr19__1
CEACAM21__chr19_KI270867v1_alt	NM_001288773__chr19_KI270867v1_alt__1|NM_001098506__chr19_KI270867v1_alt__1|NM_001290113__chr19_KI270867v1_alt__1|NM_033543__chr19_KI270867v1_alt__1
CEACAM22P__chr19	NR_027754__chr19__1
CEACAM3__chr19	NM_001277163__chr19__1|NM_001815__chr19__1|NR_102333__chr19__1
CEACAM4__chr19	NM_001817__chr19__1
CEACAM4__chr19_KI270867v1_alt	NM_001817__chr19_KI270867v1_alt__1
CEACAM5__chr19	NM_001308398__chr19__1|NM_001291484__chr19__1|NM_004363__chr19__1
CEACAM6__chr19	NM_002483__chr19__1
CEACAM7__chr19	NM_001291485__chr19__1|NM_006890__chr19__1
CEACAM7__chr19_KI270867v1_alt	NM_001291485__chr19_KI270867v1_alt__1|NM_006890__chr19_KI270867v1_alt__1
CEACAM8__chr19	NM_001816__chr19__1
CEBPA-AS1__chr19	NR_026887__chr19__1
CEBPA__chr19	NM_001285829__chr19__1|NM_001287424__chr19__1|NM_001287435__chr19__1|NM_004364__chr19__1
CEBPB-AS1__chr20	NR_125739__chr20__1
CEBPB__chr20	NM_001285878__chr20__1|NM_001285879__chr20__1|NM_005194__chr20__1
CEBPD__chr8	NM_005195__chr8__1
CEBPE__chr14	NM_001805__chr14__1
CEBPG__chr19	NM_001806__chr19__1|NM_001252296__chr19__1
CEBPZOS__chr2	NR_037879__chr2__1|NR_037880__chr2__1|NM_001322373__chr2__1|NM_001322374__chr2__1|NM_001322375__chr2__1|NM_001322376__chr2__1|NR_136316__chr2__1
CEBPZ__chr2	NM_005760__chr2__1
CECR1__chr22	NM_177405__chr22__1|NM_001282225__chr22__1|NM_001282226__chr22__1|NM_001282228__chr22__1|NM_001282229__chr22__1|NM_001282227__chr22__1
CECR2__chr22	NM_001290046__chr22__1|NM_001290047__chr22__1
CECR3__chr22	NR_038398__chr22__1
CECR5-AS1__chr22	NR_024482__chr22__1|NR_024483__chr22__1
CECR5__chr22	NM_033070__chr22__1|NM_017829__chr22__1
CECR6__chr22	NM_031890__chr22__1|NM_001163079__chr22__1
CECR7__chr22	NR_015352__chr22__1
CELA1__chr12	NM_001971__chr12__1
CELA2A__chr1	NM_033440__chr1__1
CELA2B__chr1	NM_015849__chr1__1
CELA3A__chr1	NM_005747__chr1__1
CELA3B__chr1	NM_007352__chr1__1
CELF1__chr11	NM_001025596__chr11__1|NM_001172640__chr11__1|NM_198700__chr11__1|NM_001172639__chr11__1|NM_006560__chr11__1
CELF2-AS1__chr10	NR_126062__chr10__1
CELF2-AS2__chr10	NR_046108__chr10__1
CELF2__chr10	NM_001025077__chr10__1|NM_006561__chr10__1|NM_001025076__chr10__1|NM_001083591__chr10__1
CELF3__chr1	NM_001172648__chr1__1|NM_001172649__chr1__1|NM_001291106__chr1__1|NM_001291107__chr1__1|NM_007185__chr1__1
CELF4__chr18	NM_001025087__chr18__1|NM_001025088__chr18__1|NM_001025089__chr18__1|NM_020180__chr18__1
CELF5__chr19	NM_021938__chr19__1|NM_001172673__chr19__1|NR_033342__chr19__1
CELF6__chr15	NM_001172685__chr15__1|NM_001172684__chr15__1|NM_052840__chr15__1
CELP__chr9	NR_001275__chr9__1
CELSR1__chr22	NM_014246__chr22__1
CELSR2__chr1	NM_001408__chr1__1
CELSR3-AS1__chr3	NR_111921__chr3__1
CELSR3__chr3	NM_001407__chr3__1
CEL__chr9	NM_001807__chr9__1
CEMIP__chr15	NM_001293298__chr15__1|NM_001293304__chr15__1|NM_018689__chr15__1
CEMP1__chr16	NM_001048212__chr16__1
CEND1__chr11	NM_016564__chr11__1
CENPA__chr2	NM_001809__chr2__1|NM_001042426__chr2__1
CENPBD1P1__chr19	NR_026052__chr19__1
CENPBD1__chr16	NM_145039__chr16__1
CENPB__chr20	NM_001810__chr20__1
CENPC__chr4	NM_001812__chr4__1
CENPE__chr4	NM_001286734__chr4__1|NM_001813__chr4__1
CENPF__chr1	NM_016343__chr1__1
CENPH__chr5	NM_022909__chr5__1
CENPI__chrX	NM_001318521__chrX__1|NM_006733__chrX__1|NM_001318523__chrX__1
CENPJ__chr13	NM_018451__chr13__1|NR_047594__chr13__1|NR_047595__chr13__1
CENPK__chr5	NM_001267038__chr5__1|NM_022145__chr5__1
CENPL__chr1	NM_001171182__chr1__1|NM_001127181__chr1__1|NM_033319__chr1__1
CENPM__chr22	NM_001304370__chr22__1|NM_001304372__chr22__1|NM_001304373__chr22__1|NM_001002876__chr22__1|NM_024053__chr22__1|NM_001110215__chr22__1|NM_001304371__chr22__1
CENPN__chr16	NM_018455__chr16__1|NM_001100624__chr16__1|NM_001270473__chr16__1|NM_001270474__chr16__1|NM_001100625__chr16__1
CENPO__chr2	NM_001199803__chr2__1|NM_001322101__chr2__1|NM_024322__chr2__1|NR_136182__chr2__1|NR_136183__chr2__1|NR_136184__chr2__1
CENPP__chr9	NM_001012267__chr9__1|NM_001286969__chr9__1|NM_001286971__chr9__1
CENPQ__chr6	NM_018132__chr6__1
CENPT__chr16	NM_025082__chr16__1
CENPU__chr4	NM_024629__chr4__1|NR_104593__chr4__1
CENPVP1__chrX	NR_033772__chrX__1|NR_033772__chrX__2
CENPVP2__chrX	NR_033773__chrX__1|NR_033773__chrX__2
CENPV__chr17	NM_181716__chr17__1
CENPW__chr6	NR_104462__chr6__1|NM_001012507__chr6__1|NM_001286524__chr6__1|NM_001286525__chr6__1
CEP104__chr1	NM_014704__chr1__1
CEP112__chr17	NM_001302891__chr17__1|NM_001199165__chr17__1|NM_001037325__chr17__1|NR_126542__chr17__1
CEP120__chr5	NM_001166226__chr5__1|NM_153223__chr5__1
CEP126__chr11	NM_020802__chr11__1
CEP128__chr14	NM_152446__chr14__1
CEP131__chr17	NM_001009811__chr17__1|NM_001319228__chr17__1|NM_001319229__chr17__1|NM_014984__chr17__1
CEP135__chr4	NM_025009__chr4__1
CEP152__chr15	NM_001194998__chr15__1|NM_014985__chr15__1
CEP162__chr6	NM_001286206__chr6__1|NM_014895__chr6__1
CEP164__chr11	NM_001271933__chr11__1|NM_014956__chr11__1
CEP170B__chr14	NM_001112726__chr14__1|NM_015005__chr14__1
CEP170P1__chr4	NR_003135__chr4__1
CEP170__chr1	NM_001042404__chr1__1|NM_001042405__chr1__1|NM_014812__chr1__1
CEP170__chr1_KI270763v1_alt	NM_001042404__chr1_KI270763v1_alt__1|NM_001042405__chr1_KI270763v1_alt__1|NM_014812__chr1_KI270763v1_alt__1
CEP192__chr18	NM_032142__chr18__1
CEP19__chr3	NM_032898__chr3__1
CEP250__chr20	NM_007186__chr20__1|NM_001318219__chr20__1
CEP290__chr12	NM_025114__chr12__1
CEP295NL__chr17	NM_001243540__chr17__1|NM_001243541__chr17__1
CEP295__chr11	NM_033395__chr11__1
CEP350__chr1	NM_014810__chr1__1
CEP41__chr7	NM_001257158__chr7__1|NM_001257159__chr7__1|NM_018718__chr7__1|NR_046443__chr7__1|NM_001257160__chr7__1
CEP44__chr4	NM_001145314__chr4__1|NM_001040157__chr4__1
CEP55__chr10	NM_001127182__chr10__1|NM_018131__chr10__1
CEP57L1__chr6	NM_001083535__chr6__1|NM_001271852__chr6__1|NM_001271853__chr6__1|NM_173830__chr6__1
CEP57__chr11	NM_001243776__chr11__1|NM_001243777__chr11__1|NM_014679__chr11__1
CEP63__chr3	NM_001042383__chr3__1|NM_001042384__chr3__1|NM_001042400__chr3__1|NM_025180__chr3__1
CEP68__chr2	NM_001319100__chr2__1|NM_001319101__chr2__1|NM_015147__chr2__1|NR_134966__chr2__1
CEP70__chr3	NM_001288964__chr3__1|NM_001288965__chr3__1|NM_001288967__chr3__1|NM_001320598__chr3__1|NM_024491__chr3__1|NM_001320599__chr3__1|NM_001288966__chr3__1|NM_001320600__chr3__1
CEP72__chr5	NM_018140__chr5__1
CEP76__chr18	NR_073537__chr18__1|NM_001271989__chr18__1|NM_024899__chr18__1
CEP78__chr9	NM_001098802__chr9__1|NM_032171__chr9__1
CEP83-AS1__chr12	NR_027035__chr12__1
CEP83__chr12	NM_001042399__chr12__1|NM_016122__chr12__1
CEP85L__chr6	NM_001042475__chr6__1|NM_001178035__chr6__1|NM_206921__chr6__1
CEP85__chr1	NM_001281517__chr1__1|NM_001319944__chr1__1|NM_022778__chr1__1|NM_001281518__chr1__1
CEP89__chr19	NM_032816__chr19__1
CEP95__chr17	NM_001316990__chr17__1|NM_138363__chr17__1|NR_133644__chr17__1
CEP97__chr3	NM_001303401__chr3__1|NM_024548__chr3__1
CEPT1__chr1	NM_001007794__chr1__1|NM_006090__chr1__1
CER1__chr9	NM_005454__chr9__1
CERCAM__chr9	NM_001286760__chr9__1|NM_016174__chr9__1
CERKL__chr2	NM_001030311__chr2__1|NM_001030312__chr2__1|NM_001030313__chr2__1|NM_001160277__chr2__1|NM_201548__chr2__1|NR_027689__chr2__1|NR_027690__chr2__1
CERK__chr22	NM_022766__chr22__1
CERS1__chr19	NM_021267__chr19__1|NM_198207__chr19__1|NM_001290265__chr19__1
CERS2__chr1	NM_022075__chr1__1|NM_181746__chr1__1
CERS3-AS1__chr15	NR_120374__chr15__1
CERS3__chr15	NM_001290342__chr15__1|NM_001290341__chr15__1|NM_001290343__chr15__1|NM_178842__chr15__1
CERS4__chr19	NM_024552__chr19__1
CERS5__chr12	NM_001281731__chr12__1|NM_147190__chr12__1|NR_104035__chr12__1
CERS6-AS1__chr2	NR_045786__chr2__1|NR_045787__chr2__1
CERS6__chr2	NM_001256126__chr2__1|NM_203463__chr2__1
CES1P1__chr16	NR_003276__chr16__1
CES1P2__chr16	NR_033740__chr16__1
CES1__chr16	NM_001025194__chr16__1|NM_001025195__chr16__1|NM_001266__chr16__1
CES1__chr16_GL383556v1_alt	NM_001025194__chr16_GL383556v1_alt__1|NM_001025195__chr16_GL383556v1_alt__1|NM_001266__chr16_GL383556v1_alt__1
CES2__chr16	NM_003869__chr16__1|NM_198061__chr16__1|NR_036684__chr16__1
CES3__chr16	NM_001185177__chr16__1|NM_024922__chr16__1|NM_001185176__chr16__1
CES4A__chr16	NM_173815__chr16__1|NM_001190201__chr16__1|NM_001190202__chr16__1|NM_001318506__chr16__1
CES5AP1__chr22	NR_037839__chr22__1
CES5AP1__chr22_KI270878v1_alt	NR_037839__chr22_KI270878v1_alt__1
CES5A__chr16	NM_001143685__chr16__1|NM_145024__chr16__1|NM_001190158__chr16__1
CES5A__chr16_GL383556v1_alt	NM_001190158__chr16_GL383556v1_alt__1|NM_001143685__chr16_GL383556v1_alt__1|NM_145024__chr16_GL383556v1_alt__1
CETN1__chr18	NM_004066__chr18__1
CETN2__chrX	NM_004344__chrX__1
CETN3__chr5	NM_001297765__chr5__1|NM_001297768__chr5__1|NM_004365__chr5__1
CETN4P__chr4	NR_024041__chr4__1
CETP__chr16	NM_000078__chr16__1|NM_001286085__chr16__1
CFAP100__chr3	NM_182628__chr3__1
CFAP126__chr1	NM_001013625__chr1__1
CFAP157__chr9	NM_001012502__chr9__1
CFAP161__chr15	NM_173528__chr15__1
CFAP206__chr6	NM_001031743__chr6__1
CFAP20__chr16	NM_013242__chr16__1|NR_136632__chr16__1
CFAP221__chr2	NR_073133__chr2__1|NM_001271049__chr2__1|NR_073132__chr2__1
CFAP36__chr2	NM_001282761__chr2__1|NM_080667__chr2__1
CFAP43__chr10	NM_025145__chr10__1
CFAP44-AS1__chr3	NR_046728__chr3__1
CFAP44__chr3	NM_001164496__chr3__1|NM_018338__chr3__1
CFAP45__chr1	NM_012337__chr1__1
CFAP46__chr10	NM_001200049__chr10__1
CFAP47__chrX	NM_001304548__chrX__1|NM_152632__chrX__1
CFAP52__chr17	NM_001080556__chr17__1|NM_145054__chr17__1
CFAP53__chr18	NM_145020__chr18__1
CFAP54__chr12	NM_001306084__chr12__1
CFAP57__chr1	NM_001195831__chr1__1|NM_001167965__chr1__1|NM_152498__chr1__1
CFAP58-AS1__chr10	NR_108036__chr10__1
CFAP58__chr10	NM_001008723__chr10__1
CFAP61__chr20	NM_015585__chr20__1|NM_001167816__chr20__1
CFAP65__chr2	NM_194302__chr2__1|NM_001278295__chr2__1|NM_001278296__chr2__1|NM_152389__chr2__1
CFAP69__chr7	NM_001039706__chr7__1|NM_001160138__chr7__1
CFAP70__chr10	NM_145170__chr10__1
CFAP73__chr12	NM_001144872__chr12__1
CFAP74__chr1	NM_001304360__chr1__1
CFAP77__chr9	NM_001282957__chr9__1|NM_207417__chr9__1
CFAP97__chr4	NM_020827__chr4__1|NM_001292033__chr4__1
CFAP99__chr4	NM_001193282__chr4__1
CFB__chr6	NM_001710__chr6__1
CFB__chr6_GL000251v2_alt	NM_001710__chr6_GL000251v2_alt__1
CFB__chr6_GL000252v2_alt	NM_001710__chr6_GL000252v2_alt__1
CFB__chr6_GL000253v2_alt	NM_001710__chr6_GL000253v2_alt__1
CFB__chr6_GL000254v2_alt	NM_001710__chr6_GL000254v2_alt__1
CFB__chr6_GL000255v2_alt	NM_001710__chr6_GL000255v2_alt__1
CFB__chr6_GL000256v2_alt	NM_001710__chr6_GL000256v2_alt__1
CFC1B__chr2	NM_001079530__chr2__1|NM_001079530__chr2__2
CFC1__chr2	NM_001270420__chr2__1|NM_001270421__chr2__1|NM_032545__chr2__1
CFDP1__chr16	NM_006324__chr16__1
CFD__chr19	NM_001317335__chr19__1|NM_001928__chr19__1
CFD__chr19_KI270868v1_alt	NM_001317335__chr19_KI270868v1_alt__1|NM_001928__chr19_KI270868v1_alt__1
CFHR1__chr1	NM_002113__chr1__1
CFHR2__chr1	NM_001312672__chr1__1|NM_005666__chr1__1
CFHR3__chr1	NM_001166624__chr1__1|NM_021023__chr1__1
CFHR4__chr1	NM_001201550__chr1__1|NM_001201551__chr1__1|NM_006684__chr1__1
CFHR5__chr1	NM_030787__chr1__1
CFH__chr1	NM_000186__chr1__1|NM_001014975__chr1__1
CFI__chr4	NM_000204__chr4__1|NM_001318057__chr4__1
CFL1P1__chr10	NR_028492__chr10__1
CFL1__chr11	NM_005507__chr11__1
CFL2__chr14	NM_021914__chr14__1|NM_001243645__chr14__1|NM_138638__chr14__1|NR_028130__chr14__1|NR_028131__chr14__1
CFLAR-AS1__chr2	NR_040030__chr2__1
CFLAR__chr2	NM_001308043__chr2__1|NM_001127184__chr2__1|NM_001202516__chr2__1|NM_001202517__chr2__1|NM_001202519__chr2__1|NM_003879__chr2__1|NM_001127183__chr2__1|NM_001308042__chr2__1|NM_001202518__chr2__1|NM_001202515__chr2__1
CFP__chrX	NM_001145252__chrX__1|NM_002621__chrX__1
CFTR__chr7	NM_000492__chr7__1
CGA__chr6	NM_000735__chr6__1|NM_001252383__chr6__1
CGB1__chr19	NM_033377__chr19__1
CGB2__chr19	NM_033378__chr19__1|NM_001319065__chr19__1
CGB3__chr19	NM_000737__chr19__1
CGB5__chr19	NM_033043__chr19__1
CGB7__chr19	NM_033142__chr19__1
CGB8__chr19	NM_033183__chr19__1
CGGBP1__chr3	NM_001195308__chr3__1|NM_001008390__chr3__1|NM_003663__chr3__1
CGNL1__chr15	NM_001252335__chr15__1|NM_032866__chr15__1
CGN__chr1	NM_020770__chr1__1
CGREF1__chr2	NM_001166240__chr2__1|NM_001301324__chr2__1|NM_001166239__chr2__1|NM_006569__chr2__1
CGRRF1__chr14	NM_006568__chr14__1
CH17-340M24.3__chrX	NR_103768__chrX__1
CH17-360D5.1__chr10	NM_001278795__chr10__1
CH17-408M7.1__chr1	NR_120328__chr1__1
CH25H__chr10	NM_003956__chr10__1
CHAC1__chr15	NM_001142776__chr15__1|NM_024111__chr15__1
CHAC2__chr2	NM_001008708__chr2__1
CHADL__chr22	NM_138481__chr22__1
CHAD__chr17	NM_001267__chr17__1
CHAF1A__chr19	NM_005483__chr19__1
CHAF1B__chr21	NM_005441__chr21__1
CHAMP1__chr13	NM_001164144__chr13__1|NM_001164145__chr13__1|NM_032436__chr13__1
CHAT__chr10	NM_020984__chr10__1|NM_020985__chr10__1|NM_020986__chr10__1|NM_001142929__chr10__1|NM_001142933__chr10__1|NM_001142934__chr10__1|NM_020549__chr10__1
CHCHD10__chr22	NM_001301339__chr22__1|NM_213720__chr22__1|NR_125755__chr22__1|NR_125756__chr22__1
CHCHD10__chr22_KI270879v1_alt	NM_001301339__chr22_KI270879v1_alt__1|NM_213720__chr22_KI270879v1_alt__1|NR_125755__chr22_KI270879v1_alt__1|NR_125756__chr22_KI270879v1_alt__1
CHCHD1__chr10	NM_203298__chr10__1
CHCHD2__chr7	NM_001320327__chr7__1|NM_016139__chr7__1
CHCHD3__chr7	NM_001317177__chr7__1|NM_017812__chr7__1|NR_133671__chr7__1|NM_001317178__chr7__1
CHCHD4__chr3	NM_001098502__chr3__1|NM_144636__chr3__1
CHCHD5__chr2	NM_001304353__chr2__1|NM_032309__chr2__1|NM_001304354__chr2__1
CHCHD6__chr3	NM_001320610__chr3__1|NM_032343__chr3__1
CHCHD7__chr8	NM_001011667__chr8__1|NM_001011668__chr8__1|NM_001011669__chr8__1|NM_001011670__chr8__1|NM_001011671__chr8__1|NM_001317858__chr8__1|NM_001317859__chr8__1|NM_024300__chr8__1|NR_133934__chr8__1|NR_133935__chr8__1|NR_133936__chr8__1|NR_133937__chr8__1
CHD1L__chr1	NM_001256336__chr1__1|NM_001256337__chr1__1|NM_001256338__chr1__1|NM_004284__chr1__1|NM_024568__chr1__1|NR_046070__chr1__1
CHD1__chr5	NM_001270__chr5__1
CHD2__chr15	NM_001042572__chr15__1|NM_001271__chr15__1
CHD3__chr17	NM_001005271__chr17__1|NM_001005273__chr17__1|NM_005852__chr17__1
CHD4__chr12	NM_001297553__chr12__1|NM_001273__chr12__1
